Piece ID, Machine Serial, Time Stamp, Weight, Handling Type, USPS Mail Class, USPS Mail Prep Type, Routing Category, Routing String, Bundle Qualification, Bundle Zip, Account ID, AccountName, Custom Account Code, Customer Barcode Symbology, Customer Barcode, Department ID, Department Name, Manifest ID, Piece Postage, LBS Postage, Final Postage, Fully Paid Postage, Billing Amount, IMB Tracking Code, SackLevel, SackZip, DestinationEntryLevel, Zone, Irregular, Custom1, Custom2, Driver Route, ADC, Schemed 3D, Schemed 5D, Manifest Date, Length, Width, Height, Girth, IsFlatRateConversion, Nonrectangular, SubType, OCR, BMC, ASF, SCF, Master Mail Class, EZConfirm PIC, EZConfirm ProcessingType, EZConfirm Name, EZConfirm Company, EZConfirm Address1, EZConfirm Address2, EZConfirm City, EZConfirm State, EZConfirm Zip, EZConfirm Zip4, EZConfirm RecordCaseNumber, EZConfirm IsUploaded, WABCR Symbology1, WABCR Data1, WABCR Symbology2, WABCR Data2, WABCR Symbology3, WABCR Data3, WABCR Symbology4, WABCR Data4, WABCR Symbology5, WABCR Data5, Job Name, BillingID, Permit Origin, Permit Number, Permit Name, EZConfirm Special Services, MailPieceTagData, IsOpenAndDistribute, Payment Method, Premeter Qual Level, KeyLine, IMPB, EFN, Surcharge Postage, FSS, TubNumber, Postal Discounts, HRAddress, HRCity, HRState, HRZip, LabelListInstallerVersion, Is Move, Is Catalog
4209260408-153541304,4209,4/8/2026 4:09 PM,55.300000,PARCELS,PRIORITY MAIL (DIMENSIONAL),COMMERCIAL PLUS,Resolved,76101058989,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308934,8.85000000,0.00000000,8.85000000,15.15000000,15.90000000,00055901147776002290,REJECT,,NONE,4,False,264-50,,LMS,,761,76101,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,75199,,760,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42076101<FNC1>9405540109627029569575,,0.00000000,,4,,PO BOX 589,FORT WORTH,TX,76101,1.1.10.105,False,False
4209260408-153743036,4209,4/8/2026 4:12 PM,20.100000,PARCELS,PRIORITY MAIL (DIMENSIONAL),COMMERCIAL PLUS,Resolved,63640804040,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308934,8.02000000,0.00000000,8.02000000,12.45000000,13.20000000,00055901147776002291,REJECT,,NONE,3,False,264-50,,LMS,,636,63640,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,63001,,630,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42063640<FNC1>9405540109627029570199,,0.00000000,,3,,PO BOX 8040,FARMINGTON,MO,63640,1.1.10.105,False,False
4209260408-154000869,4209,4/8/2026 4:13 PM,32.900000,PARCELS,PRIORITY MAIL (DIMENSIONAL),COMMERCIAL PLUS,Resolved,28110876730,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308934,10.85000000,0.00000000,10.85000000,16.70000000,17.45000000,00055901147776002292,REJECT,,NONE,5,False,264-50,,LMS,,281,28110,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,280,,282,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42028110<FNC1>9405540109627029570380,,0.00000000,,5,,2330 CONCORD AVE,MONROE,NC,28110,1.1.10.105,False,False
4209260408-154020946,4209,4/8/2026 4:14 PM,65.700000,PARCELS,PRIORITY MAIL (DIMENSIONAL),COMMERCIAL PLUS,Resolved,28328041006,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308934,10.85000000,0.00000000,10.85000000,20.45000000,21.20000000,00055901147776002293,REJECT,,NONE,5,False,264-50,,LMS,,283,28328,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,27075,,283,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42028328<FNC1>9405540109627029570540,,0.00000000,,5,,906 N US 421 HWY,CLINTON,NC,28328,1.1.10.105,False,False
4209260408-154046605,4209,4/8/2026 4:14 PM,32.100000,PARCELS,PRIORITY MAIL (DIMENSIONAL),COMMERCIAL PLUS,Resolved,30374080404,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308934,10.85000000,0.00000000,10.85000000,16.70000000,17.45000000,00055901147776002294,REJECT,,NONE,5,False,264-50,,LMS,,303,30374,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,302,,303,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42030374<FNC1>9405540109627029570694,,0.00000000,,5,,PO BOX 740804,ATLANTA,GA,30374,1.1.10.105,False,False
4209260408-154146553,4209,4/8/2026 4:15 PM,20.100000,PARCELS,PRIORITY MAIL (DIMENSIONAL),COMMERCIAL PLUS,Resolved,28422832070,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308934,10.85000000,0.00000000,10.85000000,15.60000000,16.35000000,00055901147776002295,REJECT,,NONE,5,False,264-50,,LMS,,284,28422,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,27075,,283,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42028422<FNC1>9405540109627029571059,,0.00000000,,5,,70 STAMP ACT DR,BOLIVIA,NC,28422,1.1.10.105,False,False
4209260408-154309133,4209,4/8/2026 4:16 PM,0.900000,PARCELS,USPS GROUND ADVANTAGE,COMMERCIAL,Resolved,63640501010,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308935,4.88000000,0.00000000,4.88000000,7.55000000,5.22000000,00001666666000925672,REJECT,,NONE,3,False,264-50,,LMS,,636,63640,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,63001,,630,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42063640<FNC1>9400140109627772608993,,0.00000000,,9,,PO BOX 5010,FARMINGTON,MO,63640,1.1.10.105,False,False
4209260408-154321183,4209,4/8/2026 4:17 PM,0.900000,PARCELS,USPS GROUND ADVANTAGE,COMMERCIAL,Resolved,53547523030,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308935,5.00000000,0.00000000,5.00000000,7.70000000,5.30000000,00001666666000925673,REJECT,,NONE,4,False,264-50,,LMS,,535,53547,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,60808,,535,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42053547<FNC1>9400140109627772609839,,0.00000000,,9,,PO BOX 5230,JANESVILLE,WI,53547,1.1.10.105,False,False
4209260408-154354021,4209,4/8/2026 4:17 PM,0.900000,PARCELS,USPS GROUND ADVANTAGE,COMMERCIAL,Resolved,53547523030,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308935,5.00000000,0.00000000,5.00000000,7.70000000,5.30000000,00001666666000925674,REJECT,,NONE,4,False,264-50,,LMS,,535,53547,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,60808,,535,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42053547<FNC1>9400140109627772610033,,0.00000000,,9,,PO BOX 5230,JANESVILLE,WI,53547,1.1.10.105,False,False
4209260408-154426049,4209,4/8/2026 4:18 PM,63.300000,PARCELS,USPS GROUND ADVANTAGE,COMMERCIAL,Resolved,27017847118,REJECT,,10686,Novant Health 1st Class,3778,EII Barcode,,10688,MAIN,308935,8.68000000,0.00000000,8.68000000,15.20000000,11.89000000,00001666666000925675,REJECT,,NONE,5,False,264-50,,LMS,,270,27017,4/8/2026 9:02 PM,11.00,10.00,2.00,0,False,False,,PACM,27075,,270,USPS Domestic,,,,,,,,,,,,NotUploaded,,,,,,,,,,,PP/04/08/26,3789,Kansas City MO,2634,Lineage #2634,,,False,PcPostage,,,42027017<FNC1>9434640109627018949639,,0.00000000,,9,,118 HAMBY RD,DOBSON,NC,27017,1.1.10.105,False,False
